Account,Text,Date,Compound,Positive,Neutral,Negative
@CBS,RT @Skylar_Jean: @mirandalambert can do NO wrong. She is perfection. #ACMawards,04/16/18,-0.325,0.209,0.451,0.34
@CBS,RT @EmilyyBruorton: @mirandalambert is my all time favorite 🔥#ACMAwards #keeperoftheflame #thebest,04/16/18,0.459,0.231,0.769,0.0
@CBS,Hats off to @Jason_Aldean! 🤠 #ACMawards https://t.co/1WSjnafKoX,04/16/18,0.0,0.0,1.0,0.0
@CBS,RT @alyssaa711: Country music just brings so much joy to my heart ❤️ #ACMawards,04/16/18,0.622,0.239,0.761,0.0
@CBS,"She may hate love songs, but @KelseaBallerini knows how to write a great one. 💕 Give her a round of applause for th… https://t.co/r50viWNM0Z",04/16/18,0.891,0.382,0.543,0.075
@CBS,The feeling when you win Vocal Group of the Year at the #ACMawards 🎉 Congratulations to @OldDominion! https://t.co/4SjYLtwLXy,04/16/18,0.859,0.404,0.596,0.0
@CBS,RT @LouisianaNashie: Way to go Old Dominion #acmawards,04/16/18,0.0,0.0,1.0,0.0
@CBS,There's nothing in the world like that performance by @KeithUrban and @juliamichaels. Nicole Kidman agrees!… https://t.co/VlwVUkNZCi,04/16/18,0.42,0.157,0.843,0.0
@CBS,RT @AbigailRamage: @reba is slaying the game! Loving her outfits and her puns. She is absolutely stunning!! My all time fave ❤️❤️ #ACMAwards,04/16/18,0.89,0.346,0.654,0.0
@CBS,"First-ever #ACMAwards winner @BrettYoungMusic stuns the crowd with an incredible performance of his hit, ""In Case Y… https://t.co/ftoksP7HrZ",04/16/18,0.599,0.234,0.766,0.0
@CBS,RT @tiffstarr16: ACM awards are my favorite time of the year😍 #ACMawards,04/16/18,0.718,0.375,0.625,0.0
@CBS,RT @adelleborchetta: Loooove this song!!! @kanebrown and @Lauren_Alaina #WhatIfs #ACMAwards 😍❤️🎉,04/16/18,0.0,0.0,1.0,0.0
@CBS,RT @kel_lee213: That Kane Brown performance 😍🤩👏 #kanebrown #whatif #ACMawards #country,04/16/18,0.0,0.0,1.0,0.0
@CBS,"What if you were made for us, and we were made for you!? ❤️ How much did you love @kanebrown and @Lauren_Alaina's d… https://t.co/xiZQ5wgddc",04/16/18,0.67,0.163,0.837,0.0
@CBS,What a performance! @gwenstefani was all smiles when @blakeshelton was on stage. #ACMawards https://t.co/yxbA1DbieE,04/16/18,0.525,0.22,0.78,0.0
@CBS,RT @wendyjo3: #ACMawards loved that @blakeshelton performance!!,04/16/18,0.669,0.428,0.572,0.0
@CBS,"Making her first-ever appearance at the #ACMAwards, @BebeRexha performs her chart-topping collaboration with… https://t.co/u1KXKrCbdD",04/16/18,0.0,0.0,1.0,0.0
@CBS,This song by @ladyantebellum sounds like the single for the summer! 🎶 #ACMawards https://t.co/81aj1vqFYh,04/16/18,0.42,0.189,0.811,0.0
@CBS,RT @42nagirl: Lady Antebellum is perfection. #ACMawards,04/16/18,0.572,0.381,0.619,0.0
